"Name","abb","book","aggressions","paragraphs","mentions","agg.per.mention","mentions.per.p","agg.weighted"
"Harry","harr","The Sorcerer's Stone",3,3015,1074,0.00279329608938547,0.356218905472637,8.42178770949721
"Hermione Granger","herm","The Sorcerer's Stone",3,3015,249,0.0120481927710843,0.0825870646766169,36.3253012048193
"Voldemort","vold","The Sorcerer's Stone",0,3015,32,0,0.0106135986733002,0
"Ron Wealsey","ronw","The Sorcerer's Stone",2,3015,513,0.00389863547758285,0.170149253731343,11.7543859649123
"Severus Snape","snap","The Sorcerer's Stone",0,3015,148,0,0.0490878938640133,0
"Albus Dumbledore","albu","The Sorcerer's Stone",0,3015,143,0,0.0474295190713101,0
"Draco Malfoy","drac","The Sorcerer's Stone",1,3015,11,0.0909090909090909,0.00364842454394693,274.090909090909
"Neville Longbottom","nevi","The Sorcerer's Stone",0,3015,101,0,0.0334991708126036,0
"Minerva McGonagall","mcgo","The Sorcerer's Stone",0,3015,94,0,0.0311774461028192,0
"Vincent Crabbe ","crab","The Sorcerer's Stone",0,3015,21,0,0.00696517412935323,0
"Fred Weasley","fred","The Sorcerer's Stone",0,3015,34,0,0.0112769485903814,0
"George Weasley","geor","The Sorcerer's Stone",0,3015,29,0,0.00961857379767828,0
"Quirinus Quirrell","quir","The Sorcerer's Stone",5,3015,85,0.0588235294117647,0.0281923714759536,177.352941176471
"Filius Flitwick","flit","The Sorcerer's Stone",0,3015,17,0,0.00563847429519071,0
"Rubeus Hagrid","hagr","The Sorcerer's Stone",1,3015,329,0.00303951367781155,0.109121061359867,9.16413373860182
"Cho Chang","choc","The Sorcerer's Stone",0,3015,110,0,0.0364842454394693,0
"Peeves","peev","The Sorcerer's Stone",0,3015,31,0,0.0102819237147595,0
"Percy Weasley","perc","The Sorcerer's Stone",0,3015,37,0,0.0122719734660033,0
"Seamus Finnagin","seam","The Sorcerer's Stone",0,3015,17,0,0.00563847429519071,0
"Fluffy","fluf","The Sorcerer's Stone",1,3015,26,0.0384615384615385,0.00862354892205638,115.961538461538
"Greggory Goyle","goyl","The Sorcerer's Stone",0,3015,22,0,0.00729684908789386,0
"Lee Jordan","leej","The Sorcerer's Stone",0,3015,11,0,0.00364842454394693,0
"Madam Hooch","hooc","The Sorcerer's Stone",0,3015,12,0,0.00398009950248756,0
"Harry","harr","The Chamber of Secrets",4,3373,1333,0.00300075018754689,0.395197153868959,10.1215303825956
"Hermione Granger","herm","The Chamber of Secrets",0,3373,297,0,0.088052179069078,0
"Voldemort","vold","The Chamber of Secrets",1,3373,31,0.032258064516129,0.00919063148532464,108.806451612903
"Ron Wealsey","ronw","The Chamber of Secrets",1,3373,729,0.00137174211248285,0.216128075896828,4.62688614540466
"Severus Snape","snap","The Chamber of Secrets",2,3373,77,0.025974025974026,0.0228283427216128,87.6103896103896
"Albus Dumbledore","albu","The Chamber of Secrets",0,3373,141,0,0.0418025496590572,0
"Draco Malfoy","drac","The Chamber of Secrets",3,3373,32,0.09375,0.00948710346872221,316.21875
"Neville Longbottom","nevi","The Chamber of Secrets",0,3373,28,0,0.00830121553513193,0
"Basilisk","basi","The Chamber of Secrets",12,3373,24,0.5,0.00711532760154165,1686.5
"Minerva McGonagall","mcgo","The Chamber of Secrets",0,3373,80,0,0.0237177586718055,0
"Ginny Wealsey","ginn","The Chamber of Secrets",0,3373,101,0,0.0299436703231545,0
"Vincent Crabbe ","crab","The Chamber of Secrets",0,3373,30,0,0.00889415950192707,0
"Dobby","dobb","The Chamber of Secrets",3,3373,106,0.0283018867924528,0.0314260302401423,95.4622641509434
