"Name","abb","search","regex"
"Harry","harr","harry","harry"
"Hermione Granger","herm","hermione granger","hermione"
"Voldemort","vold","voldemort","voldemort|dark lord|tom riddle"
"Ron Wealsey","ronw","ron weasley","ron"
"Bellatrix Lestrange","bell","bellatrix lestrange","bellatrix"
"Severus Snape","snap","severus snape","severus|snape"
"Unnamed DE","ude","unnamed de","QQQ"
"Albus Dumbledore","albu","albus dumbledore","dumbledore"
"Boggart","bogg","boggart","boggart"
"Draco Malfoy","drac","draco malfoy","draco"
"Neville Longbottom","nevi","neville longbottom","neville"
"Dolores Umbridge","umbr","dolores umbridge","dolores|umbridge"
"Dementors","deme","dementors","dementor"
"Basilisk","basi","basilisk","basilisk"
"Barty Crouch Jr.","croj","barty crouch jr.","barty crouch"
"Molly Weasley","moll","molly weasley","molly"
"Remus Lupin","remu","remus lupin","remus|lupin"
"Minerva McGonagall","mcgo","minerva mcgonagall","mcgonagall"
"Sirius Black","siri","sirius black","sirius"
"Nagini","nagi","nagini","nagini"
"Peter Pettigrew","worm","peter pettigrew","pettigrew"
"Antonin Dolohov","dolo","antonin dolohov","dolohov"
"Ginny Wealsey","ginn","ginny wealsey","ginny"
"Thorfinn Rowle","rowl","thorfinn rowle","rowle"
"Whomping Willow","will","whomping willow","willow"
"Vincent Crabbe ","crab","vincent crabbe ","crabbe"
"Dobby","dobb","dobby","dobby"
"Fred Weasley","fred","fred weasley","fred"
"George Weasley","geor","george weasley","george"
"Luna Lovegood","luna","luna lovegood","luna"
"James Potter","jame","james potter","james"
"Quirinus Quirrell","quir","quirinus quirrell","quirinus|quirrell"
"Aberforth Dumbledore","aber","aberforth dumbledore","aberforth"
"Arthur Weasley","arth","arthur weasley","arthur"
"Aymcus Carrow","aymu","aymcus carrow","aymcus"
"Barty Crouch Sr.","cros","barty crouch sr.","barty crouch"
"Filius Flitwick","flit","filius flitwick","flitwick"
"Kingsley Shacklebolt","king","kingsley shacklebolt","kingsley|shacklebolt"
"Nymphadora Tonks","tonk","nymphadora tonks","nymphadora|tonks"
"Amos Diggory","amos","amos diggory","amos"
"Rubeus Hagrid","hagr","rubeus hagrid","rubeus|hagrid"
"Gilderoy Lockhart","lock","gilderoy lockhart","gilderoy|lockhart"
"Cedric Diggory","cedr","cedric diggory","cedric|diggory"
"Ernie MacMillion","erni","ernie macmillion","ernie|macmillan"
"Fawkes",,"fawkes","fawkes"
"Giants","gian","giants","giants"
"Fernir Greyback","grey","fernir greyback","fernir|greyback"
"Gellert Grindelvald","grin","gellert grindelvald","grindelwald"
"Kreacher","krea","kreacher","kreacher"
"Morfin Guant","morf","morfin guant","gaunt"
"Parvati Patil","parv","parvati patil","parvati"
"Selwyn","selw","selwyn","selwyn"
"Horace Slughorn","slug","horace slughorn","horace|slughorn"
"Alecto Carrow","alec","alecto carrow","alecto"
"Bloody Baron","bloo","bloody baron","bloody baron"
"Buckbeak","buck","buckbeak","buckbeak"
"Centaurs","cent","centaurs","centaurs"
"Cho Chang","choc","cho chang","cho"
"Dean Thomas","dean","dean thomas","dean|thomas"
"Hannah Abbott","hann","hannah abbott","hannah|abbott"
"Gnomes","gnom","gnomes","gnomes"
"Viktor Krum","krum","viktor krum","viktor|krum"
"Madame Maxime","maxi","madame maxime","maxime"
"Alastor Moody","mood","alastor moody","moody"
"Mulciber","mulc","mulciber","mulciber"
"Narcissa Malfoy","narc","narcissa malfoy","narcissa"
"Peeves","peev","peeves","peeves"
"Percy Weasley","perc","percy weasley","percy"
"Seamus Finnagin","seam","seamus finnagin","seamus"
"Sybill Trelawney","trel","sybill trelawney","sybill|trelawney"
"Unnamed Ministry","mini","unnamed ministry","QQQ"
"Unnamed Order","orde","unnamed order","QQQ"
"Yaxley","yaxl","yaxley","yaxley"
"Anthony Goldstein","antg","anthony goldstein","goldstein"
"Antioch Peverell","antp","antioch peverell","antioch"
"Augusta Longbottom","augu","augusta longbottom","augusta"
"Cadmus Peverell","cadm","cadmus peverell","cadmus"
"Colin Creevey","coli","colin creevey","colin|creevey"
"John Dawlish","dawl","john dawlish","dawlish"
"Dirk Cresswell","dirk","dirk cresswell","cresswell"
"Dragon Keeper","drag","dragon keeper","dragon keeper"
"Egbert the Egregious","egbe","egbert the egregious","egbert"
"Evan Rosier","evan","evan rosier","rosier"
"Fleur Delacour","fleu","fleur delacour","fleur|delacour"
"Fluffy","fluf","fluffy","fluffy"
"Greggory Goyle","goyl","greggory goyle","goyle"
"Grawp","graw","grawp","grawp"
"Hereward","here","hereward","hereward"
"Justin Finch-Fletchley","just","justin finch-fletchley","justin|finch-fletchley"
"Lee Jordan","leej","lee jordan","jordan"
"Loxias","loxi","loxias","loxias"
"Madam Hooch","hooc","madam hooch","hooch"
"Madam Pince","pinc","madam pince","pince"
"Marvolo Guant","marv","marvolo guant","gaunt"
"Miles Bletchley","mile","miles bletchley","bletchley"
"Mundungus Fletcher","mund","mundungus fletcher","mundungus|fletcher"
"Bob Ogden","ogde","bob ogden","ogden"
"Rufus Scrimgeour","scri","rufus scrimgeour","scrimegour"
"Susan Bones","susa","susan bones","susan"
"Terry Boot","terr","terry boot","QQQ"
"Theft of EW","thef","theft of ew","QQQ"
"Travers","trav","travers","QQQ"
"Urquhart","urqu","urquhart","urquhart"
"Xenophilias Lovegood","xeno","xenophilias lovegood","xenophilias"
